week,app,review_count,benefit_count,harm_count,benefit_rate,harm_rate,net_sentiment
2026-W15,character_ai,77,0,4,0.0,0.0519,-0.0519
2026-W16,character_ai,423,27,18,0.0638,0.0426,0.0212
2025-W41,replika,1,0,0,0.0,0.0,0.0
2025-W42,replika,27,8,0,0.2963,0.0,0.2963
2025-W43,replika,36,4,3,0.1111,0.0833,0.0278
2025-W44,replika,34,12,0,0.3529,0.0,0.3529
2025-W45,replika,31,7,0,0.2258,0.0,0.2258
2025-W46,replika,21,4,0,0.1905,0.0,0.1905
2025-W47,replika,24,5,0,0.2083,0.0,0.2083
2025-W48,replika,20,1,0,0.05,0.0,0.05
2025-W49,replika,16,4,1,0.25,0.0625,0.1875
2025-W50,replika,15,4,0,0.2667,0.0,0.2667
2025-W51,replika,19,8,0,0.4211,0.0,0.4211
2025-W52,replika,17,3,1,0.1765,0.0588,0.1177
2026-W01,replika,10,3,0,0.3,0.0,0.3
2026-W02,replika,19,8,0,0.4211,0.0,0.4211
2026-W03,replika,19,2,1,0.1053,0.0526,0.0527
2026-W04,replika,23,5,0,0.2174,0.0,0.2174
2026-W05,replika,13,2,0,0.1538,0.0,0.1538
2026-W06,replika,18,3,0,0.1667,0.0,0.1667
2026-W07,replika,15,4,1,0.2667,0.0667,0.2
2026-W08,replika,13,2,1,0.1538,0.0769,0.0769
2026-W09,replika,14,3,0,0.2143,0.0,0.2143
2026-W10,replika,10,2,0,0.2,0.0,0.2
2026-W11,replika,20,4,1,0.2,0.05,0.15
2026-W12,replika,19,2,0,0.1053,0.0,0.1053
2026-W13,replika,21,2,1,0.0952,0.0476,0.0476
2026-W14,replika,5,0,0,0.0,0.0,0.0
2026-W15,replika,14,5,2,0.3571,0.1429,0.2142
2026-W16,replika,6,2,0,0.3333,0.0,0.3333
